macaddr,Unnamed: 0,_time,asa_code,user,radiomac,slotnum,name,building_name
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83288,2020-02-14T15:48:26.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:4a:5e:c0,0,bryancenter-001b-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,99488,2020-02-14T15:48:23.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d8:24:bd:e9:5f:b0,0,bryancenter-002d-ap3502e-rw-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,99498,2020-02-14T15:48:15.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,c4:0a:cb:df:25:50,1,bryanctr-mcdonalds-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83334,2020-02-14T15:47:59.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:4a:5e:c0,0,bryancenter-001b-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,90291,2020-02-14T15:47:56.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d8:24:bd:e9:5f:b0,0,bryancenter-002d-ap3502e-rw-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83388,2020-02-14T15:47:39.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:10:fd:e0,1,bryancenter-303-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,90300,2020-02-14T15:47:37.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,2c:d0:2d:11:b4:40,1,bryancenter-roof-ap1562d-rw-10,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,92434,2020-02-14T15:47:24.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,70:10:5c:a0:42:50,1,bryancenter-311-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83451,2020-02-14T15:47:18.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d8:24:bd:e9:5f:b0,0,bryancenter-002d-ap3502e-rw-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,92477,2020-02-14T15:46:55.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:4a:5e:c0,1,bryancenter-001b-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83464,2020-02-14T15:46:44.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,a0:23:9f:b4:93:80,1,bryancenter-roof-ap1562d-rw-6,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,92505,2020-02-14T15:46:39.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,2c:d0:2d:11:b4:40,1,bryancenter-roof-ap1562d-rw-10,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83551,2020-02-14T15:45:37.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:10:fd:e0,1,bryancenter-303-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83580,2020-02-14T15:45:22.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,70:10:5c:a0:42:50,1,bryancenter-311-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,83592,2020-02-14T15:45:10.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,a0:23:9f:b4:93:80,1,bryancenter-roof-ap1562d-rw-6,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,90492,2020-02-14T15:44:38.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,2c:d0:2d:11:b4:40,1,bryancenter-roof-ap1562d-rw-10,Bryan Student Center
